YKJ;Kunta;Ruutu;Tyydyttävän pvs-raja;Suurruutu;Suurruutu-koord;YKJ-N;YKJ-E;Priorisoitu;url
740:336;Pello;Mämmilä;90;1;740:335-744:339;740;336;valmis;https://tulokset.lintuatlas.fi/grid/740:336
740:337;Pello;Iso-Apina;90;1;740:335-744:339;740;337;kyllä;https://tulokset.lintuatlas.fi/grid/740:337
740:338;Pello;Lankojärvi;90;1;740:335-744:339;740;338;valmis;https://tulokset.lintuatlas.fi/grid/740:338
740:339;Pello;Rommakkajärvi;90;1;740:335-744:339;740;339;kyllä;https://tulokset.lintuatlas.fi/grid/740:339
741:336;Pello;Pellon kk;72;1;740:335-744:339;741;336;valmis;https://tulokset.lintuatlas.fi/grid/741:336
741:337;Pello;Ritavalkea;90;1;740:335-744:339;741;337;valmis;https://tulokset.lintuatlas.fi/grid/741:337
741:338;Pello;Konttajärvi;90;1;740:335-744:339;741;338;valmis;https://tulokset.lintuatlas.fi/grid/741:338
741:339;Pello;Kalavaara;90;1;740:335-744:339;741;339;kyllä;https://tulokset.lintuatlas.fi/grid/741:339
742:336;Pello;Teikosuvanto;72;1;740:335-744:339;742;336;valmis;https://tulokset.lintuatlas.fi/grid/742:336
742:337;Pello;Orankirova;90;1;740:335-744:339;742;337;valmis;https://tulokset.lintuatlas.fi/grid/742:337
742:338;Pello;Mustitunturi;90;1;740:335-744:339;742;338;valmis;https://tulokset.lintuatlas.fi/grid/742:338
742:339;Pello;Ruuhijärvi;90;1;740:335-744:339;742;339;valmis;https://tulokset.lintuatlas.fi/grid/742:339
743:335;Kolari;Kallioniemi;72;1;740:335-744:339;743;335;ei;https://tulokset.lintuatlas.fi/grid/743:335
743:336;Pello;Tervaoja;90;1;740:335-744:339;743;336;valmis;https://tulokset.lintuatlas.fi/grid/743:336
743:337;Pello;Vittikkovuoma;90;1;740:335-744:339;743;337;kyllä;https://tulokset.lintuatlas.fi/grid/743:337
743:338;Kolari;Aalistunturi;90;1;740:335-744:339;743;338;kyllä;https://tulokset.lintuatlas.fi/grid/743:338
743:339;Kolari;Aalisjärvi;90;1;740:335-744:339;743;339;kyllä;https://tulokset.lintuatlas.fi/grid/743:339
744:335;Kolari;Väylänpää;72;1;740:335-744:339;744;335;ei;https://tulokset.lintuatlas.fi/grid/744:335
744:336;Kolari;Koivumaa;90;1;740:335-744:339;744;336;ei;https://tulokset.lintuatlas.fi/grid/744:336
744:337;Kolari;Sammalvaara;90;1;740:335-744:339;744;337;ei;https://tulokset.lintuatlas.fi/grid/744:337
744:338;Kolari;Pasmajärvi;90;1;740:335-744:339;744;338;ei;https://tulokset.lintuatlas.fi/grid/744:338
744:339;Kolari;Hirvasjärvi;90;1;740:335-744:339;744;339;kyllä;https://tulokset.lintuatlas.fi/grid/744:339
740:340;Ylitornio;Kaupinvaara;90;2;740:340-744:344;740;340;valmis;https://tulokset.lintuatlas.fi/grid/740:340
740:341;Rovaniemi;Typpyrä;90;2;740:340-744:344;740;341;kyllä;https://tulokset.lintuatlas.fi/grid/740:341
740:342;Rovaniemi;Tuhnaja;90;2;740:340-744:344;740;342;valmis;https://tulokset.lintuatlas.fi/grid/740:342
740:343;Rovaniemi;Tapionkylä;90;2;740:340-744:344;740;343;valmis;https://tulokset.lintuatlas.fi/grid/740:343
740:344;Rovaniemi;Toramokivalo;90;2;740:340-744:344;740;344;kyllä;https://tulokset.lintuatlas.fi/grid/740:344
741:340;Pello;Rattosjärvi;90;2;740:340-744:344;741;340;valmis;https://tulokset.lintuatlas.fi/grid/741:340
741:341;Rovaniemi;Kaittiainen;90;2;740:340-744:344;741;341;kyllä;https://tulokset.lintuatlas.fi/grid/741:341
741:342;Rovaniemi;Kontojärvi;90;2;740:340-744:344;741;342;kyllä;https://tulokset.lintuatlas.fi/grid/741:342
741:343;Rovaniemi;Koukkulanaapa;90;2;740:340-744:344;741;343;valmis;https://tulokset.lintuatlas.fi/grid/741:343
741:344;Rovaniemi;Niinijärvi;90;2;740:340-744:344;741;344;ei;https://tulokset.lintuatlas.fi/grid/741:344
742:340;Pello;Rattostunturi;90;2;740:340-744:344;742;340;valmis;https://tulokset.lintuatlas.fi/grid/742:340
742:341;Rovaniemi;Marrasjärvi;90;2;740:340-744:344;742;341;kyllä;https://tulokset.lintuatlas.fi/grid/742:341
742:342;Rovaniemi;Meltaus;90;2;740:340-744:344;742;342;valmis;https://tulokset.lintuatlas.fi/grid/742:342
742:343;Rovaniemi;Vaittausjärvi;90;2;740:340-744:344;742;343;valmis;https://tulokset.lintuatlas.fi/grid/742:343
742:344;Rovaniemi;Suopajärvi;90;2;740:340-744:344;742;344;kyllä;https://tulokset.lintuatlas.fi/grid/742:344
743:340;Rovaniemi;Otuslamminmaa;90;2;740:340-744:344;743;340;ei;https://tulokset.lintuatlas.fi/grid/743:340
